Timestamp,Count,Angle_Degrees,Rotations
2026-06-01 10:56:54.686,0,0.0,0
2026-06-01 10:56:54.772,0,0.0,0
2026-06-01 10:56:54.790,0,0.0,0
2026-06-01 10:56:54.808,0,0.0,0
2026-06-01 10:56:54.825,0,0.0,0
2026-06-01 10:56:54.846,0,0.0,0
2026-06-01 10:56:54.864,0,0.0,0
2026-06-01 10:56:54.881,0,0.0,0
2026-06-01 10:56:54.898,0,0.0,0
2026-06-01 10:56:54.915,0,0.0,0
2026-06-01 10:56:54.933,0,0.0,0
2026-06-01 10:56:54.951,0,0.0,0
2026-06-01 10:56:54.967,0,0.0,0
2026-06-01 10:56:54.983,0,0.0,0
2026-06-01 10:56:54.999,0,0.0,0
2026-06-01 10:56:55.016,0,0.0,0
2026-06-01 10:56:55.034,0,0.0,0
2026-06-01 10:56:55.050,0,0.0,0
2026-06-01 10:56:55.068,0,0.0,0
2026-06-01 10:56:55.085,0,0.0,0
2026-06-01 10:56:55.101,0,0.0,0
2026-06-01 10:56:55.119,0,0.0,0
2026-06-01 10:56:55.137,0,0.0,0
2026-06-01 10:56:55.154,0,0.0,0
2026-06-01 10:56:55.169,0,0.0,0
2026-06-01 10:56:55.185,0,0.0,0
2026-06-01 10:56:55.201,0,0.0,0
2026-06-01 10:56:55.217,0,0.0,0
2026-06-01 10:56:55.233,0,0.0,0
2026-06-01 10:56:55.249,0,0.0,0
2026-06-01 10:56:55.266,0,0.0,0
2026-06-01 10:56:55.283,0,0.0,0
2026-06-01 10:56:55.299,0,0.0,0
2026-06-01 10:56:55.315,0,0.0,0
2026-06-01 10:56:55.333,0,0.0,0
2026-06-01 10:56:55.348,0,0.0,0
2026-06-01 10:56:55.365,0,0.0,0
2026-06-01 10:56:55.382,0,0.0,0
2026-06-01 10:56:55.398,0,0.0,0
2026-06-01 10:56:55.414,0,0.0,0
2026-06-01 10:56:55.432,0,0.0,0
2026-06-01 10:56:55.449,0,0.0,0
2026-06-01 10:56:55.465,0,0.0,0
2026-06-01 10:56:55.481,0,0.0,0
2026-06-01 10:56:55.499,0,0.0,0
2026-06-01 10:56:55.516,0,0.0,0
2026-06-01 10:56:55.533,0,0.0,0
2026-06-01 10:56:55.550,0,0.0,0
2026-06-01 10:56:55.565,0,0.0,0
2026-06-01 10:56:55.581,0,0.0,0
2026-06-01 10:56:55.598,0,0.0,0
2026-06-01 10:56:55.615,0,0.0,0
2026-06-01 10:56:55.630,0,0.0,0
2026-06-01 10:56:55.648,0,0.0,0
2026-06-01 10:56:55.665,0,0.0,0
2026-06-01 10:56:55.681,0,0.0,0
2026-06-01 10:56:55.698,0,0.0,0
2026-06-01 10:56:55.713,0,0.0,0
2026-06-01 10:56:55.730,0,0.0,0
2026-06-01 10:56:55.748,0,0.0,0
2026-06-01 10:56:55.767,0,0.0,0
2026-06-01 10:56:55.786,0,0.0,0
2026-06-01 10:56:55.814,0,0.0,0
2026-06-01 10:56:55.864,0,0.0,0
2026-06-01 10:56:55.914,0,0.0,0
2026-06-01 10:56:55.964,0,0.0,0
